gene_id	gene	ensembl_display_name	chromosome	start	end	strand	source	assembly
ENSG00000179388	EGR3	EGR3	8	22687659	22693480	-1	Ensembl REST lookup/id	GRCh38
ENSG00000120907	ADRA1A	ADRA1A	8	26748150	26867278	-1	Ensembl REST lookup/id	GRCh38
ENSG00000131203	IDO1	IDO1	8	39902275	39928790	1	Ensembl REST lookup/id	GRCh38
ENSG00000029534	ANK1	ANK1	8	41653220	41896741	-1	Ensembl REST lookup/id	GRCh38
ENSG00000147488	ST18	ST18	8	52110838	52460983	-1	Ensembl REST lookup/id	GRCh38
ENSG00000137573	SULF1	SULF1	8	69466624	69660935	1	Ensembl REST lookup/id	GRCh38
ENSG00000154188	ANGPT1	ANGPT1	8	107249482	107498055	-1	Ensembl REST lookup/id	GRCh38
ENSG00000147655	RSPO2	RSPO2	8	107899316	108083790	-1	Ensembl REST lookup/id	GRCh38
ENSG00000104419	NDRG1	NDRG1	8	133237175	133302022	-1	Ensembl REST lookup/id	GRCh38
ENSG00000180071	ANKRD18A	ANKRD18A	9	38540567	38620596	-1	Ensembl REST lookup/id	GRCh38
ENSG00000154529	CNTNAP3B	CNTNAP3B	9	41890314	42129552	-1	Ensembl REST lookup/id	GRCh38
ENSG00000135048	CEMIP2	CEMIP2	9	71683364	71816690	-1	Ensembl REST lookup/id	GRCh38
ENSG00000135046	ANXA1	ANXA1	9	73148874	73170629	1	Ensembl REST lookup/id	GRCh38
ENSG00000198963	RORB	RORB	9	74497335	74693177	1	Ensembl REST lookup/id	GRCh38
ENSG00000135047	CTSL	CTSL	9	87724051	87731469	1	Ensembl REST lookup/id	GRCh38
ENSG00000106799	TGFBR1	TGFBR1	9	99104038	99154192	1	Ensembl REST lookup/id	GRCh38
ENSG00000119508	NR4A3	NR4A3	9	99821855	99866891	1	Ensembl REST lookup/id	GRCh38
ENSG00000136826	KLF4	KLF4	9	107484852	107490482	-1	Ensembl REST lookup/id	GRCh38
ENSG00000106852	LHX6	LHX6	9	122202577	122229626	-1	Ensembl REST lookup/id	GRCh38
ENSG00000196358	NTNG2	NTNG2	9	132161020	132244528	1	Ensembl REST lookup/id	GRCh38
ENSG00000085265	FCN1	FCN1	9	134903232	134917954	-1	Ensembl REST lookup/id	GRCh38
ENSG00000148400	NOTCH1	NOTCH1	9	136494433	136546048	-1	Ensembl REST lookup/id	GRCh38
ENSG00000134460	IL2RA	IL2RA	10	6010689	6062370	-1	Ensembl REST lookup/id	GRCh38
ENSG00000077943	ITGA8	ITGA8	10	15513954	15719936	-1	Ensembl REST lookup/id	GRCh38
ENSG00000165985	C1QL3	C1QL3	10	16513734	16521879	-1	Ensembl REST lookup/id	GRCh38
ENSG00000260314	MRC1	MRC1	10	17809014	17911164	1	Ensembl REST lookup/id	GRCh38
ENSG00000165312	OTUD1	OTUD1	10	23439075	23442377	1	Ensembl REST lookup/id	GRCh38
ENSG00000136750	GAD2	GAD2	10	26216665	26304558	1	Ensembl REST lookup/id	GRCh38
ENSG00000099250	NRP1	NRP1	10	33177492	33336262	-1	Ensembl REST lookup/id	GRCh38
ENSG00000170312	CDK1	CDK1	10	60778312	60796236	1	Ensembl REST lookup/id	GRCh38
ENSG00000122877	EGR2	EGR2	10	62811996	62819167	-1	Ensembl REST lookup/id	GRCh38
ENSG00000183230	CTNNA3	CTNNA3	10	65912457	67763637	-1	Ensembl REST lookup/id	GRCh38
ENSG00000180644	PRF1	PRF1	10	70596401	70602759	-1	Ensembl REST lookup/id	GRCh38
ENSG00000107731	UNC5B	UNC5B	10	71212523	71302885	1	Ensembl REST lookup/id	GRCh38
ENSG00000173267	SNCG	SNCG	10	86955771	86963261	1	Ensembl REST lookup/id	GRCh38
ENSG00000138135	CH25H	CH25H	10	89205629	89207317	-1	Ensembl REST lookup/id	GRCh38
ENSG00000107798	LIPA	LIPA	10	89212830	89415367	-1	Ensembl REST lookup/id	GRCh38
ENSG00000138193	PLCE1	PLCE1	10	93993894	94332823	1	Ensembl REST lookup/id	GRCh38
ENSG00000197430	OPALIN	OPALIN	10	96343216	96359365	-1	Ensembl REST lookup/id	GRCh38
ENSG00000108018	SORCS1	SORCS1	10	106573663	107164706	-1	Ensembl REST lookup/id	GRCh38
ENSG00000148908	RGS10	RGS10	10	119499817	119543294	-1	Ensembl REST lookup/id	GRCh38
ENSG00000066468	FGFR2	FGFR2	10	121478332	121598458	-1	Ensembl REST lookup/id	GRCh38
ENSG00000148773	MKI67	MKI67	10	128096659	128126448	-1	Ensembl REST lookup/id	GRCh38
ENSG00000142089	IFITM3	IFITM3	11	319675	329475	-1	Ensembl REST lookup/id	GRCh38
ENSG00000117984	CTSD	CTSD	11	1752752	1764573	-1	Ensembl REST lookup/id	GRCh38
ENSG00000133800	LYVE1	LYVE1	11	10556966	10611689	-1	Ensembl REST lookup/id	GRCh38
ENSG00000262655	SPON1	SPON1	11	13962694	14268133	1	Ensembl REST lookup/id	GRCh38
ENSG00000110693	SOX6	SOX6	11	15966449	16739591	-1	Ensembl REST lookup/id	GRCh38
ENSG00000091664	SLC17A6	SLC17A6	11	22338381	22379503	1	Ensembl REST lookup/id	GRCh38
ENSG00000134343	ANO3	ANO3	11	26188842	26663289	1	Ensembl REST lookup/id	GRCh38
ENSG00000007372	PAX6	PAX6	11	31784779	31817961	-1	Ensembl REST lookup/id	GRCh38
ENSG00000026508	CD44	CD44	11	35138882	35232402	1	Ensembl REST lookup/id	GRCh38
ENSG00000066336	SPI1	SPI1	11	47354860	47409369	-1	Ensembl REST lookup/id	GRCh38
ENSG00000134817	APLNR	APLNR	11	57233577	57237250	-1	Ensembl REST lookup/id	GRCh38
ENSG00000110077	MS4A6A	MS4A6A	11	60170074	60184666	-1	Ensembl REST lookup/id	GRCh38
ENSG00000124920	MYRF	MYRF	11	61752593	61788518	1	Ensembl REST lookup/id	GRCh38
ENSG00000172543	CTSW	CTSW	11	65879809	65883741	1	Ensembl REST lookup/id	GRCh38
ENSG00000137672	TRPC6	TRPC6	11	101451470	101872562	-1	Ensembl REST lookup/id	GRCh38
ENSG00000170962	PDGFD	PDGFD	11	103907189	104164379	-1	Ensembl REST lookup/id	GRCh38
ENSG00000160654	CD3G	CD3G	11	118344344	118355161	1	Ensembl REST lookup/id	GRCh38
ENSG00000149564	ESAM	ESAM	11	124752583	124762315	-1	Ensembl REST lookup/id	GRCh38
ENSG00000134954	ETS1	ETS1	11	128458761	128587606	-1	Ensembl REST lookup/id	GRCh38
ENSG00000139180	NDUFA9	NDUFA9	12	4649095	4694317	1	Ensembl REST lookup/id	GRCh38
ENSG00000010610	CD4	CD4	12	6786858	6820807	1	Ensembl REST lookup/id	GRCh38
ENSG00000177575	CD163	CD163	12	7470811	7503910	-1	Ensembl REST lookup/id	GRCh38
ENSG00000111796	KLRB1	KLRB1	12	9594551	9607916	-1	Ensembl REST lookup/id	GRCh38
ENSG00000110848	CD69	CD69	12	9752486	9760901	-1	Ensembl REST lookup/id	GRCh38
ENSG00000173391	OLR1	OLR1	12	10158301	10172138	-1	Ensembl REST lookup/id	GRCh38
ENSG00000134539	KLRD1	KLRD1	12	10226058	10329608	1	Ensembl REST lookup/id	GRCh38
ENSG00000008394	MGST1	MGST1	12	16347115	16609259	1	Ensembl REST lookup/id	GRCh38
ENSG00000069431	ABCC9	ABCC9	12	21797389	21942543	-1	Ensembl REST lookup/id	GRCh38
ENSG00000188906	LRRK2	LRRK2	12	40196744	40369285	1	Ensembl REST lookup/id	GRCh38
ENSG00000135426	TESPA1	TESPA1	12	54948015	54989104	-1	Ensembl REST lookup/id	GRCh38
ENSG00000065361	ERBB3	ERBB3	12	56076799	56103505	1	Ensembl REST lookup/id	GRCh38
ENSG00000135454	B4GALNT1	B4GALNT1	12	57623409	57633239	-1	Ensembl REST lookup/id	GRCh38
ENSG00000156076	WIF1	WIF1	12	65050626	65121548	-1	Ensembl REST lookup/id	GRCh38
ENSG00000090382	LYZ	LYZ	12	69348381	69354234	1	Ensembl REST lookup/id	GRCh38
ENSG00000139287	TPH2	TPH2	12	71938845	72186618	1	Ensembl REST lookup/id	GRCh38
ENSG00000072657	TRHDE	TRHDE	12	72087266	72670758	1	Ensembl REST lookup/id	GRCh38
ENSG00000175183	CSRP2	CSRP2	12	76858703	76879638	-1	Ensembl REST lookup/id	GRCh38
ENSG00000165899	OTOGL	OTOGL	12	80099537	80380880	1	Ensembl REST lookup/id	GRCh38
ENSG00000011465	DCN	DCN	12	91140484	91183217	-1	Ensembl REST lookup/id	GRCh38
ENSG00000120833	SOCS2	SOCS2	12	93569808	93583487	1	Ensembl REST lookup/id	GRCh38
ENSG00000111144	LTA4H	LTA4H	12	96000753	96043520	-1	Ensembl REST lookup/id	GRCh38
ENSG00000139354	GAS2L3	GAS2L3	12	100573681	100628288	1	Ensembl REST lookup/id	GRCh38
ENSG00000151136	BTBD11	ABTB3	12	107318421	107659642	1	Ensembl REST lookup/id	GRCh38
ENSG00000183160	TMEM119	TMEM119	12	108589851	108598320	-1	Ensembl REST lookup/id	GRCh38
ENSG00000111249	CUX2	CUX2	12	111033853	111350554	1	Ensembl REST lookup/id	GRCh38
ENSG00000152137	HSPB8	HSPB8	12	119171555	119224855	1	Ensembl REST lookup/id	GRCh38
ENSG00000181234	TMEM132C	TMEM132C	12	128267170	128707911	1	Ensembl REST lookup/id	GRCh38
ENSG00000102755	FLT1	FLT1	13	28300346	28495145	-1	Ensembl REST lookup/id	GRCh38
ENSG00000133101	CCNA1	CCNA1	13	36431520	36442870	1	Ensembl REST lookup/id	GRCh38
